User,veAEQ Balance at block 22721125,veAEQ % Owned,,Unlock Date (UTC),Lock last updated,,,
0xda7a763bde6ee9cafc3876ef33d67f8eed7891f7,142298.8518,18.1205,,"Thu, 26 Oct 2023 00:00:00 GMT",Mon Oct 31 2022,,,
0x5d166006367856a7d8028f822c7c236f9efa7a8d,104506.2542,13.3079,,"Thu, 02 Nov 2023 00:00:00 GMT",Wed Nov 02 2022,,,
0x69e02d001146a86d4e2995f9ecf906265aa77d85,41904.72612,5.3362,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Nov 02 2022,,,
0xcc5503137fc029a830fd8bf1c12bbd9ac4e3f0d7,"42,994.90",5.475,,"Thu, 19 Oct 2023 00:00:00 GMT",Tue Oct 25 2022,MATTADOR,40369.0902,5.1406
0x743b0ebc575bd24cd978d108b6e52c21c58d4079,35390.32834,4.5066,,"Thu, 31 Aug 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0xc3530d160b48f19c14fec76f4c206441ba265c95,31131.79178,3.9644,,"Thu, 21 Sep 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0xd5c49c80cbea2d5af7c4bee4ac2ce3f85a34a899,23667.68742,3.0139,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0xbc4e6a07646c564a333c971dedacdbc485fee5a8,20329.98822,2.5888,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Nov 02 2022,,,
0x2be237c75a2730b5ebae1de8f066cf57f59d12fe,20233.16226,2.5765,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0x7aea5f39c4cdacba9d3bed35eb73b07f89d71abe,17543.53435,2.234,,"Thu, 05 Oct 2023 00:00:00 GMT",Wed Oct 05 2022,,,
0xba9f68316932ae306806df192455e011af78ea1a,16301.30741,2.0758,,"Thu, 26 Oct 2023 00:00:00 GMT",Tue Nov 01 2022,,,
0x227c79a7464f08ea8aa5d9f8b22aa63adec79a9b,15036.93542,1.9148,,"Thu, 12 Oct 2023 00:00:00 GMT",Sat Oct 22 2022,,,
0x0cd852539cc13267eadb82be19e86ea1f61eb17e,14043.37228,1.7883,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0x16497ef5d7071a86f97f9140c651d68440527bc4,9829.967233,1.2518,,"Thu, 26 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0xf7fc09f24a5f7e9a0fa36d99dd8dc877c3e0fed6,8696.821722,1.1075,,"Thu, 21 Sep 2023 00:00:00 GMT",Wed Sep 28 2022,,,
0x569bbc59d52907e2faf7dfa272a9a4ee0ba589a2,"12,108.59",1.5419,,"Thu, 21 Sep 2023 00:00:00 GMT",Mon Sep 26 2022,YAWNZ,8225.097513,1.0474
0xee02b046b42768e1ba2fb32d97d55824f3eb6e51,8167.644392,1.0401,,"Thu, 19 Oct 2023 00:00:00 GMT",Tue Oct 25 2022,,,
0xe166f5d72269b8f31aa9679351b626b6235cae05,7905.718154,1.0067,,"Thu, 19 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0x0a10753cac8b635ee4e049814984cfaffa367c7b,7707.978002,0.9815,,"Thu, 05 Oct 2023 00:00:00 GMT",Tue Oct 18 2022,,,
0x1a61bf28f66451bd43e7be5fb788a2b1f5f4231f,7475.870852,0.952,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0x5d2f1caaf44c0ef31e2381b9aa3a7e930084ff68,6910.484194,0.88,,"Thu, 12 Oct 2023 00:00:00 GMT",Sun Oct 16 2022,,,
0xc911faaa3e4755a5aa451f394295062e0ae623d1,6680.756337,0.8507,,"Thu, 28 Sep 2023 00:00:00 GMT",Tue Oct 11 2022,,,
0x8b8535c33783752ffbdb461865fdca1f26f74e4a,6169.889623,0.7857,,"Thu, 02 Nov 2023 00:00:00 GMT",Wed Nov 02 2022,,,
0x28a143b4ed91934ac11270d99dc5896299bfd04b,6117.545585,0.779,,"Thu, 26 Oct 2023 00:00:00 GMT",Fri Oct 28 2022,,,
0x19868b43cc7e16f8a928c500400d24f1b5f2dcff,6017.992145,0.7663,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Oct 27 2022,,,
