User,veAEQ % Owned,Amount Owed
0xda7a763bde6ee9cafc3876ef33d67f8eed7891f7,18.1205,960.3865000000001
0x5d166006367856a7d8028f822c7c236f9efa7a8d,13.3079,705.3187
0x69e02d001146a86d4e2995f9ecf906265aa77d85,5.3362,282.8186
0xcc5503137fc029a830fd8bf1c12bbd9ac4e3f0d7,5.475,290.17499999999995
0x743b0ebc575bd24cd978d108b6e52c21c58d4079,4.5066,238.84979999999996
0xc3530d160b48f19c14fec76f4c206441ba265c95,3.9644,210.1132
0xd5c49c80cbea2d5af7c4bee4ac2ce3f85a34a899,3.0139,159.73669999999998
0xbc4e6a07646c564a333c971dedacdbc485fee5a8,2.5888,137.2064
0x2be237c75a2730b5ebae1de8f066cf57f59d12fe,2.5765,136.5545
0x7aea5f39c4cdacba9d3bed35eb73b07f89d71abe,2.234,118.40199999999999
0xba9f68316932ae306806df192455e011af78ea1a,2.0758,110.01740000000001
0x227c79a7464f08ea8aa5d9f8b22aa63adec79a9b,1.9148,101.48440000000001
0x0cd852539cc13267eadb82be19e86ea1f61eb17e,1.7883,94.7799
0x16497ef5d7071a86f97f9140c651d68440527bc4,1.2518,66.3454
0xf7fc09f24a5f7e9a0fa36d99dd8dc877c3e0fed6,1.1075,58.6975
0x569bbc59d52907e2faf7dfa272a9a4ee0ba589a2,1.5419,81.72070000000001
0xee02b046b42768e1ba2fb32d97d55824f3eb6e51,1.0401,55.1253
0xe166f5d72269b8f31aa9679351b626b6235cae05,1.0067,53.3551
0x0a10753cac8b635ee4e049814984cfaffa367c7b,0.9815,52.0195
0x1a61bf28f66451bd43e7be5fb788a2b1f5f4231f,0.952,50.455999999999996
0x5d2f1caaf44c0ef31e2381b9aa3a7e930084ff68,0.88,46.64
0xc911faaa3e4755a5aa451f394295062e0ae623d1,0.8507,45.08710000000001
0x8b8535c33783752ffbdb461865fdca1f26f74e4a,0.7857,41.6421
0x28a143b4ed91934ac11270d99dc5896299bfd04b,0.779,41.287
0x19868b43cc7e16f8a928c500400d24f1b5f2dcff,0.7663,40.6139
0xe14ae9ec6090d023f77e00e4b6f00a0f748ed895,0.7548,40.0044
0xa1094c4d9b850fc4cce29ed14df184bc4752078e,0.7423,39.3419
0x05ab06939adb5a0c4c5b5e4e35716296e69e456b,1.0362,54.9186
0x39462b901f1ecd486ee9e32f7fd1a1e836827831,0.6885,36.4905
0xccb666491bed5efb638cafeb5a296ffa8853e5f7,0.6738,35.7114
0xd084d8b981a3fa3232380fc569207054b31b2c0e,0.6186,32.7858
0x3ff07607c5c8c619c69b1fd4c08aebf069aa10c7,0.5494,29.118199999999998
0x25d7500f6ff9316a0587fe01faaf7daf4af15e73,0,0
0xf0c481024b0097916fb9ac0156cc8fb08a29f9f7,0.466,24.698
0x04dffde6ca95b0c002345014745bd75fbf7523ce,0.4616,24.4648
0xe92e71714cf612485aa9f0be316a3d5e98906435,0.3863,20.473899999999997
0x6d09dd88bd80596746e482d208def2f26bfd2601,0.3846,20.3838
0xb69ec3f5f3e103f79cb14dba669fb24c7d1c9967,0.3821,20.251299999999997
0xc12ca084236a042a658c28c894df95e3b80de125,0.3748,19.8644
0xa12be400f22c8cb89e29cd95a4031420374b5e8c,0.3414,18.0942
0xabcd018b36ea7a16fdb177f85988e156182046ca,0.3363,17.8239
0xb84a313fc5bb3d8dda31e6cf2b510539e6cd96c7,0,0
0xc48983f3400965a483cdfcfc4288f369bbbf9f20,0,0
0x1b30f8ee9d7718b182bad677c06980e5a0668526,0.3219,17.0607
0x16d088a79d7d36213618263184783fb4d6375e33,0.3213,17.0289
0x11175a05d2cbdf6f823ef8f26be55773d80768fd,0.303,16.058999999999997
0xf29fd03df2cb7f81d8ae4d10a76f8b1c898786bd,0.2958,15.6774
0xb14925c2a470a2410a30f4a052a16700f0c167d8,0.2839,15.0467
0xcb53bb0a7086363b7b962a2a5a877fcdcc76555a,0.2765,14.6545
0x7123df3d6f6813737cc033659084ee834b12ec7b,0.2745,14.5485
0x1b40953944a0d0a1628642b1a1d773db5799057c,0.2694,14.278199999999998
0xb173e5d2eb505181f005cf457926453725d9a26d,0.2651,14.0503
0x5b39829b09a1b81e920a0c514a46a390cb0aa4cb,0.2584,13.695200000000002
0x8bf3218b944cb6291adff26dc4f36e8b7453a518,0.2566,13.5998
0x7f6f11fe804622f546c9e925f11e073d217321a7,0.2503,13.2659
0xfd6e577bc642238e1e091432eec1a9f83fbbe03b,0.2224,11.787199999999999
0xa2091aa24bf43649dc11f46a4034d5602173df05,0.2145,11.3685
0x5821a1b92940a25a123852946de51b600e69e34f,0.213,11.289
0x66184928f9ed4deb086da37ed0e51c1041514ee3,0.2096,11.1088
0x37e014215902ba306da13464a613f2e38578a6d0,0.1954,10.3562
0xb565d5c50d9477e99eaf4cc03b904326f673030e,0.1951,10.340300000000001
0x28acc5e98fc5fdb00bc3ae998e50ade500206e8a,0.1906,10.101799999999999
0x00426ec496d6aeac556fbd3e1e00a307ab7f5211,0.1896,10.0488
0xc14123749de3a0a8ecab775f2bb11b9c5db5e6eb,0.1795,9.5135
0xd13a06e565f0409017e89d057a289bdc433d6da1,0.1699,9.0047
0xb0c4b5f561147b63cfa81f502113c18a8b8c8643,0.1664,8.819199999999999
0xa81a1a69738e26cb847114fa17e2f2b40fb12cf4,0.16,8.48
0xc2aa39a914c55b1d86aac2d41cc09e15ba28adc8,0.1547,8.1991
0x65cc0a1a964a60b26f402b737762f41424bb2c0e,0.152,8.056
0x9ce4e0665f090090c069d0c6fd6132d5755e54bf,0.1498,7.9394
0x9d2c87f55ace54b382912c3754fbf879e237dbee,0.1454,7.7062
0xe2b79bf57d239d114fccf0e51e9a084b0bf3acf1,0.1362,7.2185999999999995
0x154a1799c339f1d2eab56b46a5985d79f9c42874,0.1351,7.1603
0xd01a7916173a65212e83f7e10607cbc502c10749,0.1257,6.662100000000001
0x8b63132ea07ab898afe389d393070b325d8277b9,0.1172,6.211600000000001
0xeac35f2638feabc375d05d418f9904b0c8d6dc68,0.1167,6.1851
0xd3f1070b46e2aad65733e5a6d1cfd029c67b0791,0.1108,5.8724
0xbf876cf9057aaf1eca78cdde94749a547bd8e63d,0.1099,5.8247
0xb234182bd57526686cd6db545c34daa04942daa8,0.1082,5.7346
0x3c5e4523b65cb0dea5247bb6b6b2de60688971cb,0.1068,5.660400000000001
0x94debc57081c4c58dd69f4dfce589b82fc3c2866,0.1051,5.5703000000000005
0x5c2cebfc43349ee1e4dace71163ad7508ec3afa9,0.1043,5.527900000000001
0x781096e8a3ec3a307c620a972535043896682013,0.1013,5.3689
0x840800b500974851df219dc7c558a6b0bcc0ed58,0.1001,5.3053
0x3136be7a1fc3baf61e36202f94b9fbfde676e114,0.0949,5.0297
0xd854a9f15f3fab95db38db30da1cf81aa9320b88,0.0892,4.7276
0x12d26abf06eb3499bcca8be7f5381647b56d53ee,0.0876,4.642799999999999
0x901c7399a5561c12584b55e327d6fcedf8ef9428,0.0825,4.3725
0x4d98d36ae16fa325bc13a9cc15d64648bda42d8c,0.0818,4.3354
0x3e8c91472fc50a8528e448ff501af9bf8c00cceb,0.0801,4.2453
0x9f83a430081fbc7d03b36c1115213de1d8217d83,0.0796,4.2188
0xe06500f6b2c463cb0fc384251ecc3e49001c696d,0.0786,4.1658
0x4477faf75af68a845fba18a72fe65d0eb3073ba1,0.078,4.134
0x7efdec1d3fa35a11906928c5b4416c5c8ebb8ff6,0.0776,4.1128
0x5faa3c4b1c41887b2ae1391237dff44d58815aab,0.0769,4.075699999999999
0x9deb607b7e92096df55b02aa563e82f612fd0def,0.0766,4.0598
0x3a279a6ff38edc992a7fe3aea2024a55fb7dfdba,0.0763,4.043900000000001
0xd8b87a01980eb792e3bc030bdec42db2b9b5cbfc,0.0763,4.043900000000001
0x2e86d29cfea7c4f422f7fccf97986bbba03e1a7f,0.0718,3.8054
0xf73484a987ed44b6926996c1c6cdd460807246bf,0.0717,3.8001
0xc82307702e339227fc154abb7b13a402c156748d,0.0716,3.7947999999999995
0x2ec9912157a1d0a813fdc7ac2b76203741cb4a8e,0.0714,3.7842000000000002
0xc4359587c848e6cace36bf6a6b326c8d16d36bd8,0.0714,3.7842000000000002
0x64f830a199bf057b157e8f1b6ab56bc157a87b11,0.0697,3.6941
0xa9c4066447cffea1f8dbe3ee44bf6aa3344d932f,0.0681,3.6092999999999997
0x9b8b0292434d70a925216f09015842c15851f3f2,0.0661,3.5033000000000003
